distortion,charge,outcar
unperturbed,2,unperturbed/OUTCAR
bond_compress_0.80,2,bond_compress_0.80/OUTCAR
bond_expand_1.20,2,bond_expand_1.20/OUTCAR
rattled_0.10A,2,rattled_0.10A/OUTCAR
