kx,ky,kz,encut_eV,natoms,path
2,2,2,600,8,KPOINTS_2x2x2/OUTCAR
3,3,3,600,8,KPOINTS_3x3x3/OUTCAR
4,4,4,600,8,KPOINTS_4x4x4/OUTCAR
5,5,5,600,8,KPOINTS_5x5x5/OUTCAR
6,6,6,600,8,KPOINTS_6x6x6/OUTCAR
8,8,8,600,8,KPOINTS_8x8x8/OUTCAR
