encut_eV,kmesh,natoms,path
350,8x8x8,8,ENCUT_350/OUTCAR
400,8x8x8,8,ENCUT_400/OUTCAR
450,8x8x8,8,ENCUT_450/OUTCAR
500,8x8x8,8,ENCUT_500/OUTCAR
550,8x8x8,8,ENCUT_550/OUTCAR
600,8x8x8,8,ENCUT_600/OUTCAR
650,8x8x8,8,ENCUT_650/OUTCAR
