distortion,charge,outcar
unperturbed,0,unperturbed/OUTCAR
bond_compress_0.80,0,bond_compress_0.80/OUTCAR
bond_expand_1.20,0,bond_expand_1.20/OUTCAR
rattled_0.10A,0,rattled_0.10A/OUTCAR
